Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.093889,53.759579,-95.625000,bottom
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.759579,-5.093891,174.375000,bottom
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-5.093886,-53.759577,84.375000,bottom
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-53.759576,5.093885,-5.625000,bottom
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",15.483984,51.732835,-106.875000,bottom
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.732834,-15.483983,163.125000,bottom
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-15.483982,-51.732834,73.125000,bottom
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.732833,15.483981,-16.875000,bottom
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.279039,47.718027,-118.125000,bottom
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",47.718027,-25.279038,151.875000,bottom
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-25.279037,-47.718027,61.875000,bottom
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-47.718027,25.279036,-28.125000,bottom
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.102635,41.869443,-129.375000,bottom
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.869443,-34.102634,140.625000,bottom
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-34.102633,-41.869443,50.625000,bottom
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.869442,34.102632,-39.375000,bottom
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.615685,34.411840,-140.625000,bottom
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.411840,-41.615684,129.375000,bottom
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.615683,-34.411840,39.375000,bottom
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-34.411839,41.615682,-50.625000,bottom
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",47.529468,25.631809,-151.875000,bottom
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.631809,-47.529467,118.125000,bottom
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-47.529466,-25.631810,28.125000,bottom
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-25.631809,47.529465,-61.875000,bottom
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.616720,15.866761,-163.125000,bottom
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",15.866762,-51.616719,106.875000,bottom
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.616718,-15.866763,16.875000,bottom
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-15.866763,51.616717,-73.125000,bottom
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.720371,5.491963,-174.375000,bottom
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",5.491964,-53.720370,95.625000,bottom
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-53.720369,-5.491965,5.625000,bottom
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-5.491965,53.720368,-84.375000,bottom
"Q1","Q_Photo_NPN","LED_D3.0mm",0.000000,51.475000,90.000000,bottom
"Q2","Q_Photo_NPN","LED_D3.0mm",10.042274,50.485923,78.750000,bottom
"Q3","Q_Photo_NPN","LED_D3.0mm",19.698629,47.556699,67.500000,bottom
"Q4","Q_Photo_NPN","LED_D3.0mm",28.597977,42.799898,56.250000,bottom
"Q5","Q_Photo_NPN","LED_D3.0mm",36.398321,36.398321,45.000000,bottom
"Q6","Q_Photo_NPN","LED_D3.0mm",42.799898,28.597977,33.750000,bottom
"Q7","Q_Photo_NPN","LED_D3.0mm",47.556699,19.698629,22.500000,bottom
"Q8","Q_Photo_NPN","LED_D3.0mm",50.485922,10.042274,11.250000,bottom
"Q9","Q_Photo_NPN","LED_D3.0mm",51.475000,0.000000,0.000000,bottom
"Q10","Q_Photo_NPN","LED_D3.0mm",50.485922,-10.042274,-11.250000,bottom
"Q11","Q_Photo_NPN","LED_D3.0mm",47.556699,-19.698629,-22.500000,bottom
"Q12","Q_Photo_NPN","LED_D3.0mm",42.799898,-28.597977,-33.750000,bottom
"Q13","Q_Photo_NPN","LED_D3.0mm",36.398321,-36.398321,-45.000000,bottom
"Q14","Q_Photo_NPN","LED_D3.0mm",28.597977,-42.799898,-56.250000,bottom
"Q15","Q_Photo_NPN","LED_D3.0mm",19.698629,-47.556699,-67.500000,bottom
"Q16","Q_Photo_NPN","LED_D3.0mm",10.042274,-50.485922,-78.750000,bottom
"Q17","Q_Photo_NPN","LED_D3.0mm",0.000000,-51.475000,-90.000000,bottom
"Q18","Q_Photo_NPN","LED_D3.0mm",-10.042274,-50.485922,-101.250000,bottom
"Q19","Q_Photo_NPN","LED_D3.0mm",-19.698629,-47.556699,-112.500000,bottom
"Q20","Q_Photo_NPN","LED_D3.0mm",-28.597977,-42.799898,-123.750000,bottom
"Q21","Q_Photo_NPN","LED_D3.0mm",-36.398321,-36.398321,-135.000000,bottom
"Q22","Q_Photo_NPN","LED_D3.0mm",-42.799898,-28.597977,-146.250000,bottom
"Q23","Q_Photo_NPN","LED_D3.0mm",-47.556699,-19.698629,-157.500000,bottom
"Q24","Q_Photo_NPN","LED_D3.0mm",-50.471211,-10.039347,-168.750000,bottom
"Q25","Q_Photo_NPN","LED_D3.0mm",-51.475000,0.000000,180.000000,bottom
"Q26","Q_Photo_NPN","LED_D3.0mm",-50.485922,10.042274,168.750000,bottom
"Q27","Q_Photo_NPN","LED_D3.0mm",-47.556699,19.698629,157.500000,bottom
"Q28","Q_Photo_NPN","LED_D3.0mm",-42.799898,28.597977,146.250000,bottom
"Q29","Q_Photo_NPN","LED_D3.0mm",-36.398321,36.398321,135.000000,bottom
"Q30","Q_Photo_NPN","LED_D3.0mm",-28.597977,42.799898,123.750000,bottom
"Q31","Q_Photo_NPN","LED_D3.0mm",-19.698629,47.556699,112.500000,bottom
"Q32","Q_Photo_NPN","LED_D3.0mm",-10.042274,50.485922,101.250000,bottom
"R1","R","R_0603_1608Metric",0.000000,56.500000,90.000000,bottom
"R2","R","R_0603_1608Metric",21.621614,52.199193,67.500000,bottom
"R3","R","R_0603_1608Metric",39.951533,39.951533,45.000000,bottom
"R4","R","R_0603_1608Metric",52.199193,21.621614,22.500000,bottom
"R5","R","R_0603_1608Metric",56.500000,0.000000,0.000000,bottom
"R6","R","R_0603_1608Metric",52.199193,-21.621614,-22.500000,bottom
"R7","R","R_0603_1608Metric",39.951533,-39.951533,-45.000000,bottom
"R8","R","R_0603_1608Metric",21.621614,-52.199193,-67.500000,bottom
"R9","R","R_0603_1608Metric",0.000000,-56.500000,-90.000000,bottom
"R10","R","R_0603_1608Metric",-21.621614,-52.199193,-112.500000,bottom
"R11","R","R_0603_1608Metric",-39.951533,-39.951533,-135.000000,bottom
"R12","R","R_0603_1608Metric",-52.199193,-21.621614,-157.500000,bottom
"R13","R","R_0603_1608Metric",-56.500000,0.000000,180.000000,bottom
"R14","R","R_0603_1608Metric",-52.199193,21.621614,157.500000,bottom
"R15","R","R_0603_1608Metric",-39.951533,39.951533,135.000000,bottom
"R16","R","R_0603_1608Metric",-21.621614,52.199193,112.500000,bottom
