Designator,Val,Package,MidX,MidY,Rotation,Layer
BZ1,Buzzer,Buzzer_Murata_PKLCS1212E,143.51,-113.538,-90,bottom
C10,47μ,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,151.384,-106.426,-90,bottom
Q1,PMOS,TO-252-2,149.606,-93.716,90,bottom
U4,AZ1084-5.0,TO-252-2,141.732,-101.346,-90,bottom
BT1,Battery,AMASS_XT60-M_1x02_P7.20mm_Vertical,162.56,-115.36,90,top
C1,0.1μ,C_0402_1005Metric,138.684,-107.188,90,top
C2,0.1μ,C_0402_1005Metric,139.52,-96.01,-90,top
C4,C_Small,C_0402_1005Metric,147.48,-95.99,-90,top
C5,C_Small,C_0402_1005Metric,142.776,-95.25,0,top
C6,0.1μ,C_0402_1005Metric,147.066,-100.584,180,top
C7,0.1μ,C_0402_1005Metric,136.906,-104.676,90,top
C8,0.1μ,C_0402_1005Metric,147.068,-104.41,180,top
C9,0.1μ,C_0402_1005Metric,141.224,-96.012,-90,top
C11,0.1μ,C_0402_1005Metric,137.581778,-107.188974,-90,top
D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.764,-91.833,-90,top
D2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.224,-91.833,-90,top
D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.684,-91.833,-90,top
F1,Fuse15A,Fuseholder_Clip-5x20mm_Littelfuse_520_Inline_P20.50x5.80mm_D1.30mm_Horizontal,154.94,-118.364,90,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,142.496,-116.332,0,top
J2,Conn_01x08_Socket,PinSocket_1x08_P2.54mm_Vertical,135.128,-109.22,180,top
J3,Conn_01x08_Socket,PinSocket_1x08_P2.54mm_Vertical,169.57,-91.44,0,top
J4,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Horizontal,144.018,-86.868,90,top
J5,Conn_01x02_Socket,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,158.116,-90.986,0,top
J6,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,140.208,-84.836,0,top
R1,1k,R_0402_1005Metric,151.47,-104.35,-90,top
R2,1k,R_0402_1005Metric,142.748,-96.4015,0,top
R3,1k,R_0402_1005Metric,145.034,-92.708,90,top
R4,1k,R_0402_1005Metric,142.494,-92.708,90,top
R5,100,R_0402_1005Metric,139.954,-92.708,90,top
R8,3k,R_0402_1005Metric,147.066,-101.6,180,top
R9,1k,R_0402_1005Metric,147.068,-102.616,0,top
R10,5.1k,R_0402_1005Metric,139.192,-110.49,90,top
R11,5.1k,R_0402_1005Metric,138.176,-110.49,90,top
R12,27,R_0402_1005Metric,139.826,-107.186,90,top
R13,27,R_0402_1005Metric,140.843,-107.188,90,top
R14,330,R_0402_1005Metric,164.084,-99.06,0,top
R15,1k,R_0402_1005Metric,161.546,-99.06,180,top
R16,1k,R_0402_1005Metric,161.036,-102.108,90,top
RV1,Varistor,RV_Disc_D9mm_W3.3mm_P5mm,150.46,-113.578,-90,top
RV2,Varistor,RV_Disc_D9mm_W3.3mm_P5mm,160.354,-94.904,0,top
SW1,SW_Push,SW_SPST_B3U-1000P,148.082,-91.948,90,top
SW2,SW_Push,SW_SPST_B3U-1000P,151.384,-91.948,90,top
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,147.32,-108.966,180,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,141.478,-101.6,180,top
U3,SFH617A-1,DIP-4_W7.62mm,166.614,-101.605,180,top
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,145.29,-95.77,0,top